current_url,page_type,recommendation,destination_url,rationale,wave,preserve_equity,gate
/use-cases/custom-ai-app-for-startups,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-receptionist-for-dentists,use-cases,MERGE,/ai-receptionist-for-contractors,"Receptionist cannibalization — 20 URLs on one intent",1,301/308 — never delete,requires GSC baseline
/use-cases/ai-booking-assistant-for-salons,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-chatbot-for-ecommerce,use-cases,MERGE,/ai-chatbot-development,"Chatbot cannibalization — 5 URLs",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-content-engine-for-creators,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/automate-admin-for-accountants,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-document-analyzer-for-law-firms,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-receptionist-for-real-estate,use-cases,MERGE,/ai-receptionist-for-contractors,"Receptionist cannibalization — 20 URLs on one intent",1,301/308 — never delete,requires GSC baseline
/use-cases/ai-support-bot-for-saas,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/personal-ai-assistant-app,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/missed-call-automation,use-cases,MERGE,/missed-calls,"Folds into the missed-calls pillar",1,301/308 — never delete,requires GSC baseline
/use-cases/estimate-follow-up-automation,use-cases,MERGE,/quote-follow-up,"Folds into the quote follow-up pillar",1,301/308 — never delete,requires GSC baseline
/use-cases/no-show-reminder-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/appointment-reminder-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/google-business-profile-lead-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/instagram-dm-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/facebook-lead-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-operations-assistant,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/ai-sop-generator,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/use-cases/client-onboarding-automation,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
